lineno,value
01,*皆(みな)*さんこんにちは。*私(わたし)*は*張(ちょう)*と*申(もう)し*ます。
02,*最近(さいきん)*ついていないことが*起(お)こり*ました。*携帯(けいたい)*をトイレに*落(お)とし*ました。その*時(とき)*、「しまった。」と*思(おも)い*ました。
03,それから*暫(しばら)く*の*間(あいだ)*、*携帯(けいたい)*を*持(も)って*いませんでした。
04,そして「*携帯(けいたい)*はなければならないのか」、「*携帯(けいたい)*は*必要(ひつよう)な*のか」と*考(かんが)えて*いました。
05,*今日(きょう)*のテーマはスマートフォンを*使(つか)う**感想(かんそう)*です。
06,2007*年(ねん)*、アップルがアメリカで「iPhone（アイフォーン）」を*発売(はつばい)した*。その*時(とき)*から*買(か)い**占(し)め*ブームが*全世界(ぜんせかい)*に*巻(ま)き**起(お)こり*ました。
07,だから*今(いま)*、スマートフォンを*持(も)って*いない*人(ひと)*がほとんどいません。
08,ニュースによると、*毎日(まいにち)**台湾人(たいわんじん)*は*三(さん)**時間(じかん)*ほど*携帯(けいたい)*をいじります。
09,みんな*食事(しょくじ)*の*時(とき)*、バスに*乗(の)る**時(とき)*、*何(なに)か*をする*時(とき)*、いつも*携帯(けいたい)*をいじっています。
10,*私(わたし)*は*時々(ときどき)*、ある*両親(りょうしん)*たちがスマホを*子供(こども)*に*与(あた)えて*から、*子供(こども)*のことに*無関心(むかんしん)*になることを*見(み)て*とても*憤(いきどお)り*を*感(かん)じ*ます。
11,こういうことはとてもよくないことだと*思(おも)い*ます。
12,*私(わたし)*は*友達(ともだち)*と*食事(しょくじ)*をする*時(とき)*、いつも*友達(ともだち)*に「*携帯(けいたい)*ばかりをいじってないでよ」と*言(い)って*います。
13,よく*言(い)われる*ことは「*人(ひと)*との*出会(であ)い*を*大切(たいせつ)*にする」と*言(い)う**言葉(ことば)*です。
14,*私(わたし)*にとってとりわけ*重要(じゅうよう)な*ことは、*何(なに)*があっても*目(め)*の*前(まえ)*の*人(ひと)*を*大切(たいせつ)*にすることです。
15,*人(ひと)*との*付(つ)き**合(あ)い*は*真心(まごころ)*をもって*人(ひと)*に*接(せっ)する*べきです。
16,ご*清聴(せいちょう)*ありがとうございました。
